0,310,CHRM,AUTUMN 2019,2,No,FINISHED,9,30,No
1,310,CHRM,AUTUMN 2019,3,No,FINISHED,9,30,No
0,311,CHRM,WINTER 2020,2,No,FINISHED,9,30,No
1,311,CHRM,WINTER 2020,3,No,FINISHED,9,30,No
0,312,CHRM,SPRING 2020,2,No,FINISHED,9,30,No
1,312,CHRM,SPRING 2020,3,No,FINISHED,9,30,No
0,310,CHRM,AUTUMN 2020,2,No,FINISHED,9,30,No
1,310,CHRM,AUTUMN 2020,3,No,FINISHED,9,30,No
0,311,CHRM,WINTER 2021,2,No,ONGOING,9,30,No
1,311,CHRM,WINTER 2021,3,No,ONGOING,9,30,No
0,312,CHRM,SPRING 2021,2,Yes,PRESTART,9,30,No
1,312,CHRM,SPRING 2021,3,Yes,PRESTART,9,30,No
0,241,POTS,WINTER 2021,4,Yes,ONGOING,34,30,No
0,611,DADA,WINTER 2021,6,Yes,ONGOING,17,30,No
0,621,DADA,WINTER 2021,6,Yes,ONGOING,17,30,No
0,631,DADA,WINTER 2021,7,Yes,ONGOING,17,30,No
0,440,TRFG,AUTUMN 2020,2,No,FINISHED,38,30,No
1,440,TRFG,AUTUMN 2020,4,No,FINISHED,38,30,No
2,440,TRFG,AUTUMN 2020,5,No,FINISHED,38,30,No
0,441,TRFG,WINTER 2021,2,No,ONGOING,38,30,No
1,441,TRFG,WINTER 2021,4,No,ONGOING,38,30,No
2,441,TRFG,WINTER 2021,5,No,ONGOING,38,30,No
0,442,TRFG,SPRING 2021,2,Yes,PRESTART,38,30,No
1,442,TRFG,SPRING 2021,4,Yes,PRESTART,38,30,No
2,442,TRFG,SPRING 2021,5,Yes,PRESTART,38,30,No
0,210,ASTR,SPRING 2021,8,Yes,PRESTART,3,30,No
0,211,ASTR,SPRING 2021,8,Yes,PRESTART,3,30,No
0,340,QDTC,SPRING 2021,4,Yes,PRESTART,37,30,Yes
1,340,QDTC,SPRING 2021,1,Yes,PRESTART,37,30,No
0,911,HERB,SPRING 2021,2,Yes,PRESTART,25,30,no
1,911,HERB,SPRING 2021,3,Yes,PRESTART,25,30,no
0,912,HERB,SPRING 2021,3,Yes,PRESTART,26,30,no
1,912,HERB,SPRING 2021,5,Yes,PRESTART,26,30,no
2,912,HERB,SPRING 2021,6,Yes,PRESTART,27,30,no
0,140,MYOM,SPRING 2021,1,Yes,PRESTART,31,15,no
1,140,MYOM,SPRING 2021,2,Yes,PRESTART,31,15,no
2,140,MYOM,SPRING 2021,3,Yes,PRESTART,31,15,no
0,110,ARTM,SPRING 2021,1,Yes,PRESTART,1,20,no
1,110,ARTM,SPRING 2021,2,Yes,PRESTART,1,20,no
0,111,ARTM,SPRING 2021,4,Yes,PRESTART,1,20,no
1,111,ARTM,SPRING 2021,6,Yes,PRESTART,1,20,no
0,230,ASTR,SPRING 2021,2,Yes,PRESTART,3,30,no
0,521,ALCY,SPRING 2021,1,Yes,PRESTART,13,15,no
0,721,DIVI,SPRING 2021,1,Yes,PRESTART,22,7,no
0,722,DIVI,SPRING 2021,1,Yes,PRESTART,22,7,no
0,811,HEAL,SPRING 2021,2,Yes,PRESTART,24,30,yes
1,811,HEAL,SPRING 2021,3,Yes,PRESTART,24,30,yes
2,811,HEAL,SPRING 2021,4,Yes,PRESTART,24,30,yes
0,921,HERB,SPRING 2021,3,Yes,PRESTART,25,30,yes
