0,310,CHRM,AUTUMN 2019,74,REGULAR,A,COMPLETE
1,311,CHRM,WINTER 2020,74,REGULAR,A,COMPLETE
0,440,TRFG,AUTUMN 2020,74,REGULAR,A,COMPLETE
1,441,TRFG,WINTER 2021,74,REGULAR,A,COMPLETE
0,310,CHRM,AUTUMN 2019,88,REGULAR,A,COMPLETE
1,311,CHRM,WINTER 2020,88,REGULAR,A,COMPLETE
0,440,TRFG,AUTUMN 2020,88,REGULAR,A,COMPLETE
1,441,TRFG,WINTER 2021,88,REGULAR,A,COMPLETE
0,310,CHRM,AUTUMN 2019,89,REGULAR,A,COMPLETE
1,311,CHRM,WINTER 2020,89,REGULAR,F,COMPLETE
0,440,TRFG,AUTUMN 2020,89,REGULAR,A,COMPLETE
1,441,TRFG,WINTER 2021,89,REGULAR,A,COMPLETE
0,210,ASTR,SPRING 2021,114,REGULAR,A,COMPLETE
0,210,ASTR,SPRING 2021,117,REGULAR,A,COMPLETE
